Title,Artist,Difficulty,Book,Page,URL,Body,Chords,Tags
Satellite of Love,Lou Reed,3,Transformer,16,https://moselele.co.uk/individual_songs/Transformer/Satellite_of_love.pdf,"[G] Satellite's [A7] gone
up to the [C] skies [Dsus4][D][Dsus2][D]
[G] Things like that [A7] drive me
out of my [C] mind [Dsus4][D][Dsus2][D]
[Em] I watched it for a [C] little while
[A7] I like to watch things on [C] TV

[G] bom bom bom  Sate-[D]-llite of love
[F]  bom bom bom  Sat-[C]-ellite of love
[G]  bom bom bom  Sate-[D]-llite of love
[G] Sa-[D]-te-[C]-llite [D] of...

[G] Satellite's [A7] gone
way up to [C] Mars [Dsus4][D][Dsus2][D]
[G] Soon it will be [A7] filled
with parking  [C] cars [Dsus4][D][Dsus2][D]
[Em] I watched it for a [C] little while
[A7] I love to watch things on [C] TV

[G] bom bom bom  Sate-[D]-llite of love
[F]  bom bom bom  Sat-[C]-ellite of love
[G]  bom bom bom  Sate-[D]-llite of love
[G] Sa-[D]-te-[C]-llite [D] of...
[G] I've been [D] told that [C] you've been [D] bold
with [C] Harry, [D] Mark and [G] John

[G] Monday, [D]Tuesday, [C] Wednesday through [D] Thursday
with [C] Harry, [D] Mark and [G] John

[G] Satellite's [A7] gone
up to the [C] skies [Dsus4][D][Dsus2][D]
[G] Things like that [A7] drive me
out of my [C] mind [Dsus4][D][Dsus2][D]
[Em] I watched it for a [C] little while
[A7] I love to watch things on [C] TV

[G] bom bom bom  Sate-[D]-llite of love
[F]  bom bom bom  Sat-[C]-ellite of love
[G]  bom bom bom  Sate-[D]-llite of love
[G] Sa-[D]-te-[C]-llite [D] of...

[G]  [A7]  [C]  [G]  (with clicks)
Satell-[G]-ite  [A7]
of [C] lo-o-o- [G]-ove x8","A7, C, D, Dsus2, Dsus4, Em, F, G",
Wagon Wheel,Lou Reed,3,Transformer,18,https://moselele.co.uk/individual_songs/Transformer/Wagon_wheel.pdf,"[D] (4 bars)
[D] Won't you [A] be my wagon [D] wheel?
[D] Won't you [A] tell me, baby, how does it [D] feel?

Yeah, you got to [F#] live, yeah, your [Bm] life
[C] as though you're number [G] one
Yeah you got to [F#] live, yeah, your [Bm] life
[C] And make a point of having some [G] fun

But if you [A] think that you get kicks from flirting with danger, danger,
ooh Just kick her in head and rearrange her

[D] Oh heavenly [G] father, what [F#] can I [Bm] do '
What [G] she's done to [D] me is [F#] making [Bm] me [G] crazy
[D] Oh heavenly [G] father, I [F#] know I have [Bm] sinned
But [G] look where I've [D] been, it's [F#] making [Bm] me [G] lazy

[D]  (4 bars builds)
[D] Won't you [A] be my wagon [D] wheel?
[D] Won't you [A] tell me, baby, how does it [D] feel?

Yeah, you got to [F#] live, yeah, your [Bm] life
[C] as though you're number [G] one
Yeah you got to [F#] live, yeah, your [Bm] life
[C] And make a point of having some [G] fun
But if you [A] think that you get kicks from flirting with danger, danger,
ooh ooh ooooh Just kick her in head and rearrange her

And then why don't you [G] wake me, shake me
[C] Please don't let me sleep too [G] long

why don't you [G] wake me, shake me
[C] don't you let me sleep too [G] long
Don’t want to miss it now [G] wake me, shake me
[C] Please don't let me sleep too [G] long
Now why don't you [G] wake me, shake me
[C]  don't you let me sleep too [G] long
why don't you [G] wake me, (wake me) shake me (shake me)
[C] don't let me sleep too [G] long
why don't you [G] wake me, (wake me) shake me (shake me)
[C] don't you let me sleep too [G] long
why don't you [G] wake me, (wake me) shake me (shake me)
[C] please don't let me sleep too [G] long","A, Bm, C, D, F#, G",
New York Telephone Conversation,Lou Reed,4,Transformer,20,https://moselele.co.uk/individual_songs/Transformer/New_york_telephone_conversation.pdf,"[D] I was [A] sleeping, [G] gently [A] napping
[Bm] when [F#] I heard the [Bm] phone [F#] [Bm]
[G] Who is [A] on the [D] other end [A] talking
[G] am I [A] even [D] home? [A] [D]

[D]Did you [A] see what [G] she did [A] to him?
[Bm] Did you [F#] hear what they [Bm] said? [F#] [Bm]
[G] Just a [A] New York [D] conver-[A]-sation
[G] rattling [A] in my [D] head [A] [D]

[Bb] Oh, [A] oh, [D] my, [A] [D]
and [G] what [A] shall we [D] wear? [A] [D]
[Bb] Oh, [A] oh, [D] my, [A] [D]
and [G] who [A] really [D] cares? [A][D]

[D] Just a [A] New York [G] conver-[A]-sation
[Bm] gossip [F#] all of the [Bm] time [F#] [Bm]
[G] Did you [A] hear who [D] did what [A] to whom?
[G] happens [A] all the [D] time [A] [D]

[D] Who has [A] touched and [G] who has [A] dabbled
[Bm] here in the [F#] city of [Bm] shows? [F#] [Bm]
[G] Openings, [A] closings, [D] bad rep-[A]-artee
[G] every-[A]-body [D] knows  [A] [D]

[Bb] Oh, [A] how [D] sad [A] [D]
and [G] why [A] do we [D] call? [A] [D]
[Bb] Oh, [A] I’m, [D] glad, [A] [D]
to [G] hear [A] from you [D] all [A][D]

[D] I am [A] calling, yes [G] I’m [A] calling
[Bm] just to [F#] speak to [Bm] you [F#] [Bm]
[G] For I [A] know this [D] night will [A] kill me
If [G] I  can't [A] be with [D] you [A] [D]
If [G*] I  can't [A*] be with [D*] you","A, Bb, Bm, D, F#, G",
I'm So Free,Lou Reed,2,Transformer,22,https://moselele.co.uk/individual_songs/Transformer/Im_so_free.pdf,"[G] [F]  [C]   [ G]  [F]  [C]
[C] Yes I am mother [G] nature's son
[Bb] And I'm the [C] only one
[C] I do what I want and I [G] want what I see
[Bb] Huh, to only [C] happen to me
[G] I.... -[F]-I'm so [C] free
[G] I.... -[F]-I'm so [C] free
[G] [F]  [C]   [ G]  [F]  [C]

[C] Oh, please, [G] Saint Germaine
[Bb]        I have [C] come this way
[C] Do you remember the [G] shape I was in
[Bb]         I had horns [C] that bent
[G] I.... -[F]-I'm so [C] free
[G] I.... -[F]-I'm so [C] free

[C] Do you remember the [G] silver walks?
[Bb] You used to shiver and [C] I used to talk
[C] Then we went down [G]  to Times Square
[Bb] And ever since I've been [C] hanging around there
[G] I.... -[F]-I'm so [C] free
[G] I.... -[F]-I'm so [C] free

[C] Yes I am mother [G] nature's son
[Bb] And I'm the [C]  only one
[C] I do what I want and I [G] want what I see
[Bb]   Could [C] happen to me
[G] I.... -[F]-I'm so [C] free
[G] I.... -[F]-I'm so [C] free

[G] Oh, oh, [F] oh, I'm so [C] free
[G] Oh, oh, [F]  oh, I'm so [C] free
[G] Oh, oh, [F] oh, I'm so [C] free
[G] Early in the [F] morning, I'm so [C]  free
[G] Late in the [F] evening, I'm so [C] free
[G] Yeah, yeah, [F] yeah, I'm so [C] free
[G] When I feel [F] good, I'm so [C] free
[G] When it's in the [F] morning, I'm so [C] free
[G] When it's in the [F] evening, I'm so [C] free
[G] I'm so [F] free, I'm so [C] free
[G] I'm so [F] free, I'm so [C] free
[G] Feel so [F] good, now, I'm so [C] free
[G] Oh, oh, [F] oh, I'm so [C] free
[G] Yeah, yeah, [F] yeah, I'm so [C]  free
[G] Oh, oh, [F] oh, I'm so [C] free
[G] Feel so [F] good, now, I'm so [C] free
[G] Feel a little [F] nice, I'm so [C] free
[G] Feel a little [F] down, now, I'm so [C]  free
[G] You're so [F] free, I'm so [C] free
[G] I'm so [F] free, I'm so [C] free
[G] I'm so [F] free, I'm so [C] free
[G] I'm so [F] free, I'm so [C] free","Bb, C, F, G",
Goodnight Ladies,Lou Reed,3,Transformer,24,https://moselele.co.uk/individual_songs/Transformer/Goodnight_ladies.pdf,"[Bb]Goodnight ladies,[Eb]ladies goodnight
[F] It's time to say good-[Bb]-bye [G] [Eb] [F] let me tell you, now
[Bb] Goodnight ladies,[Eb]ladies goodnight
[F] It's time to say good-[Bb]-bye

[Cm] Now, all night [F] long you've been [Bb] drinking your tequilla
[Cm] But now you've [F] sucked your lemon peel [Bb] dry,
So why not get [G] high, high, high
And [Eb] goodnight [F] ladies, ladies good-[Bb]-night[G] [Eb] [F]

[Bb] Goodnight ladies, [Eb] ah, ladies goodnight
[F] It's time to say good-[Bb]-bye [G] [Eb] [F]
[Bb] Goodnight sweet ladies oh, [Eb]  ladies goodnight
[F] It's time to say good-[Bb] bye,   bye-bye

[Cm] Ah, we've been to-[F]-gether for the longest [Bb] time
[Cm] But now it's [F] time to get [Bb] high
Come on, let's get [G] high, high, high
And [Eb] goodnight [F] ladies, ladies good-[Bb]-night[G]  [Eb] [F]

[Bb] Oh, I'm still missing my [C7] other half
[Eb] Oh, it must be something I did [Bb] in the past
[Eb] Don't it just make [Bb] you wanna [G] laugh
It's a [C7] lonely Saturday [F] night

[Bb] Oh, nobody calls me on the [C7] telephone
[Eb] I put another record on my [Bb] stereo
[Eb] But I'm still [Bb] singing a song of [G] you
It's a [C7] lonely Saturday [F] night [Bb] [A]

Now, if [Dm]I was an actor, or a [A] dancer who is glamorous
Then, you [Dm] know, [A] amorous life would soon be [Dm] mine [A] [Dm]
But now the [G] tinsel light of star break
Is all that's [G7] left to applaud my heart break
And [Cm*] eleven o'clock I watch the [F*] network news

[Wait for it...]
Oh, woh, woh, [Bb] something tells me that you're [C7] really gone
[Eb] You said we could be [Bb] friends, but that's not what I want
[Eb] Ah, anyway, my [Bb] TV-dinner's almost [G] done
It's a [C7] lonely [F] Saturday [Bb] night
I mean to [G] tell you, it's a [C7] lonely [F] Saturday [Bb] night
One more [G] word, it's a [C7] lonely [F] Saturday [Bb] night [F] [Bb]","A, Bb, C7, Cm, Dm, Eb, F, G, G7",
Five Years ,David Bowie,2,Ziggy Stardust,4,https://moselele.co.uk/individual_songs/Ziggy/Five_years.pdf,"
in 3⁄4 time

[*] = Pause

[G*] Pushing through the market square
[Em*] so many mother sighing (sighing)
[A*] News had just come over
We had [C*] five years left to cry in

[G*] News guy wept and told us
[Em*] Earth was really dying
[A*] Cried so much, his face was wet
Then I [C*] knew he was not lying.

I heard [G] telephones, opera house, favourite melodies
I saw [Em] boys, toys, electric irons and T.V's
My [A] brain hurt like a warehouse, it had no room to spare
I had to [C] cram so many things to store everything in there
And all the fat [Am] skinny people
[C] And all the tall short [Am] people
[C] And all the [G] nobody people
[C] And all the somebody [D7] people
I never thought I'd need so many [Am] people [C]

[G] A girl my age went off her head,
[Em] hit some tiny children.
[A] If the black had not pulled her off,
I [C] think she would have killed them

[G] A soldier with a broken arm, fixed his
[Em] stare to the wheels of a Cadillac
[A] A cop knelt and kissed the feet of a priest
And a [C] queer threw up at the sight of that.

[G] I think I saw you in an ice cream parlour
[Em] Drinking milkshakes cold and long
[A] Smiling and waving and looking so fine
[C] Don't think you knew you were in this song

And it was [G] cold, and it rained, so i felt like an actor and I
[Em] thought of Ma, and I wanted to get back there
Your [A] face, Your race, the way that you talk
I [C] kiss you, you're beautiful, I want you to walk.

We got [G] five years stuck on my eyes
[Em] five years what a surprise we got
[A] five years my brain hurts a lot
[C] five years that's all we got.

We've got [G] five years what a surprise we got
[Em] five years stuck on my eyes
[A] five years my brain hurts a lot
[C] five years that's all we got.

We've got [G] five years stuck on my eyes
[Em] five years what a surprise we got
[A] five years my brain hurts a lot
[C] five years that's all we got.

We've  got [G] five years what a surprise we got
[Em] five years stuck on my eyes
[A] five years my brain hurts a lot
[C] five years that's all we got.

We've got [G] (five years) FIVE YEARS
[Em] (five years) FIVE YEARS
[A] (five years) FIVE YEARS
[C] (five years) FIVE YEARS
[G*] F-I-I-I-I-I-I-I-VE!!","A, Am, C, D7, Em, G",
Soul Love ,David Bowie,4,Ziggy Stardust,6,https://moselele.co.uk/individual_songs/Ziggy/Soul_love.pdf,"Intro: [G] [G] [G] [G]
[G] Stone love, she kneels before the grave
A [Em] brave son, who gave his life to save the [C] slogan
that hovers between the headstone and her [G] eyes
[Bm] For they penetrate [Am] her grieving [D]

[G] New love, a boy and girl are talking
[Em] New words, that only they can share in
[C] New words, a love so strong it tears their hearts to [G] sleep
[Bm] through the fleeting hours [Am] of morning [D]

[Am7] Love is careless in its choosing
[E] Sweeping over cross and baby
[F] Love descends on those [C] defenceless
[D] Idiot love will spark the fusion
[C] Inspirations [D] have I none, just to [G] touch the flaming dove [C]
[Cm7] All I have is my [G] love of love, and [D] love is not loving

Saxazoo Solo: [G]       [Em]        [C]        [G]    [Bm] [Am] [D]

(key change)
[A] Soul love, the priest that tastes the word and
[F#m] Told of love, and how my God on high is
[D] All love, though reaching up my loneliness evolves [A]
[C#m] by the blindness that [Bm] surrounds him [E]

[Bm] Love is careless in its choosing
[F#m] Sweeping over cross and baby
[G] Love descends on [D] those defenceless
[E] Idiot love will spark the fusion
[D] Inspirations [E] have I none, just to [A] touch the flaming dove [D]
[Dm] All I have is my [A] love of love, and [E] love is not loving

[A]
[F#m]
[D]
[A]    [C#m]    [Bm]     [E]
[A] la la la la la_ la la_ la
[F#m] la la la la la_ la la_ la
[D] la la la la la la_ la la_ la la_ la
[A] la [C#m] la la la la_ la la [Bm] la la_ [E]

solo over la la (low G tuning)","A, Am, Am7, Bm, C, C#m, Cm7, D, Dm, E, Em, F, F#m, G",
Moonage Daydream,David Bowie,3,Ziggy Stardust,8,https://moselele.co.uk/individual_songs/Ziggy/Moonage_Daydream.pdf,"[D*-*] I'm an alligator [F#*-*] I'm a mama-papa comin' for you
[Bm] I'm the [Bm7] space invader, [E] I'll be a rock 'n' rollin' bitch for you
[G] Keep your mouth shut, [D] you're sqauwking like a pink monkey bird
[F#] and I'm busting up my brains for the [Bm] words [Bm7] [E]

chorus:
[Em7] Keep your e -[Bm7]- lectric eye on [E] me babe
[Em7] Put your [Bm7] ray gun to my [E] head
[Em7] Press your [Bm7] space face close to mine,[E] love
[D*] Freak out in a Moonage Daydream oh! [E*] yeah!

[D*-*] Don't fake it baby, [F#*-*] lay the real thing on me
[Bm] The [Bm7] church of man, love, [E] is such a holy place to be
[G] Make me baby, [D] make me know you really care
[F#] Make me jump into the air [Bm] [Bm7] [E]

chorus:
[Em7] Keep your e -[Bm7] -lectric eye on [E] me babe
[Em7] Put your [Bm7] ray gun to my [E] head
[Em7] Press your [Bm7] space face close to mine,[E] love
[D*] Freak out in a Moonage Daydream oh! [E*] yeah!

solo
[Bm7]   [A]    [G]    [F#] [F#5]
[Bm7]   [A]    [G]    [F#] [F#5]

chorus:
[Em7] Keep your e -[Bm7] lectric eye on [E] me babe
[Em7] Put your [Bm7] ray gun to my [E] head
[Em7] Press your [Bm7] space face close to mine,[E] love
[D*] Freak out in a Moonage Daydream oh! [E*] yeah!

[Em7] Keep your e -[Bm7] lectric eye on [E] me babe
[Em7] Put your [Bm7] ray gun to my [E] head
[Em7] Press your [Bm7] space face close to mine,[E] love
[D*] Freak out in a Moonage Daydream oh! [E*] yeah!
solo
[Bm7]   [A]    [G]    [F#] [F#5]
[Bm7]   [A]    [G]    [F#] [F#5]
[Bm7]   [A]    [G]    [F#] [F#5]
[Bm7]   [A]    [G]    [F#] [F#5]
[Bm7]   [A]    [G]    [F#] [F#5]
[Bm7]   [A]    [G]    [F#] [F#5]
[Bm7]   [A]    [G]    [F#] [F#5]","A, Bm, Bm7, D, D-, E, Em7, F#, F#-, F#5, G",
Starman ,David Bowie,4,Ziggy Stardust,10,https://moselele.co.uk/individual_songs/Ziggy/Starman.pdf,"[Bbmaj7]     [Fmaj7]     [Bbmaj7]     [Fmaj7]

[Gm] Didn't know what time it was the lights were low-ow-ow.
[F] I leaned back on my radio-o-o
[C] Some cat was laying down some
[C7] rock'n'roll,lotta soul he said [F]      [Ab] [Bb]

[Gm] Then the loud sound did seem to fa-a-ade
[F] Came back like a slow voice on a wave of pha-a-ase
[C] That weren't no DJ that was [C7] hazy cosmic jive. [A*] [G*]

Chorus:
There's a [F] starman [Dm] waiting in the sky
He'd [Am] like to come and [C] meet us
But he [C7] thinks he'd blow our minds.
There's a [F] starman [Dm] waiting in the sky
He's [Am] told us not to [C] blow it
'Cause he [C7] knows it all worthwhile. He told me,
[Bb] ""Let the [Bbm] children lose it, [F] let the [D7] children use it,
[Gm] Let all the [C7] children boogie.""

Solo
[Bb]    [F]    [C]    [F]
[Bb]    [F]    [C]

[Gm] Well I had to phone someone so I picked on you-ou-ou
[F] Hey that's far out, so you heard him too-oo-oo
[C] Switch on the TV we may
[C7] pick him on Channel 2. [F]     [Ab] [Bb]

[Gm] Look out your window I can see his li-i-ight,
[F] If we can sparkle he may land toni-i-ight,
[C] Don't tell your papa or he'll [C7] get us locked up in a fright. [A*] [G*]

Chorus:
There's a [F] starman [Dm] waiting in the sky
He'd [Am] like to come and [C] meet us
But he [C7] thinks he'd blow our minds.
There's a [F] starman [Dm] waiting in the sky
He's [Am] told us not to [C] blow it
'Cause he [C7] knows it all worthwhile. He told me,
[Bb] ""Let the [Bbm] children lose it, [F] let the [D7] children lose it,
[Gm] Let all the [C7] children boogie.""

[F] starman [Dm] waiting in the sky
He'd [Am] like to come and [C] meet us
But he [C7] thinks he'd blow our minds.
There's a [F] starman [Dm] waiting in the sky
He's [Am] told us not to [C] blow it
'Cause he [C7] knows it all worthwhile. He told me,
[Bb] ""Let the [Bbm] children lose it, [F] let the [D7] children use it,
[Gm] Let all the [C7] children boogie.""

[Bb] [F] [C] [F]

[Bb] La la la la la, [F] la la la la, [C] la la la la, [F] la la la la

(to fade)

Hazy Cosmic Jive tab","A, Ab, Am, Bb, Bbm, Bbmaj7, C, C7, D7, Dm, F, Fmaj7, G, Gm",
It Ain't Easy ,David Bowie,2,Ziggy Stardust,12,https://moselele.co.uk/individual_songs/Ziggy/it_aint_easy.pdf,"Intro: [D]    [A] X4

When you [D] climb to the top of the [A] mountain
[D] Look out over the sea [A]
[D] Think about the places [A] we have
where a [D] young man could be [A]
Then you [D] jump back down to the [A] rooftops
[D] Look out over the [A] town
[D] Think about all of the [C*] strange [A*] things [D] circulating round [A*]

chorus:
[A] [C] It ain't [A] easy,
[A] [C] it ain't [A] easy
[A] [C] It ain't [Cm] easy to get your help-[D]-ing when you're going down [A*]

Well all the [D] people have got their [A] problems
[D] That ain't nothing new [A]
[D] But with the help of the good [A] Lord
[D] we can all pull on [A] through
[D] We can all pull on through [A]
[D] Get there in the end [A]
[D] Sometimes it'll take you [A] right up and [D] sometimes down again [A*]

chorus:
[A] [C] It ain't [A] easy,
[A] [C] it ain't [A] easy
[A] [C] It ain't [Cm] easy to get your help-[D]-ing when you're going down [A*]

Satis-[D]-faction, satisfac-[A]-tion
[D] Keep me satisfied [A]
[D] I've got the love of a [A] Hoochie Coochie woman she [D] calling from inside [A]
She's a-[D]-calling from inside [A]
[D] Trying to get to you [A]
[D] All the woman [A] really wants you can [D] give her something too [A]

chorus:
[A] [C] It ain't [A] easy,
[A] [C] it ain't [A] easy
[A] [C] It ain't [Cm] easy to get your help-[D]-ing when you're going down [A*]

chorus:
[A] [C] It ain't [A] easy,
[A] [C] it ain't [A] easy
[A] [C] It ain't [Cm] easy to get your help-[D]-ing when you're going down [A*]

OUTRO: [D] [A] [D] [A] [C] [D] [A*]","A, C, Cm, D",
Lady Stardust ,David Bowie,3,Ziggy Stardust,14,https://moselele.co.uk/individual_songs/Ziggy/Lady_stardust.pdf,"Intro: [A] [E] [A] [E]

[A] People stared [C#7] at the [F#m] makeup on his face [D]
[A] Laughed at his long [F#m] black hair, [E] his animal grace [C#7]
[F#m] The boy in the bright [D] blue jeans [A] jumped up on the [C#7] stage
[A] Lady Stardust [E] sang his songs
Of [D] darkness and disgrace [E]

And he was [A] al-[E]-right, the [D] band was al-[E]-together
Yes he was[A] al-[E]-right, the [D] songs went on for-[E]-ever
And he was [Em] awful nice
[Em7] Really quite out of sight
And he sang [A] all [E] night long [D] [E]

[A] Femme fatales [C#7] emerged from [F#m] shadows to watch this creature [D] fair
[A] Boys stood up-[F#m]-on their chairs to [E] make their point of view [C#7]
[F#m] I smiled [D] sadly for a [A] love I could not obey [C#7]
[A] Lady Stardust [E] sang his songs
Of [D] darkness and dismay [E]

And he was [A] al-[E]-right, the [D] band was al-[E]-together
Yes he was[A] al-[E]-right, the [D] song went on for-[E]-ever
And he was [Em] awful nice
[Em7] Really quite paradise
And he sang [A] all [E] night long [D] [E]

[D] Oh, how I [B] sighed when they [E] asked if I knew his name [E*]

Oh they were [A] al-[E]-right, the [D] band was al-[E]-together
Yes he was[A] al-[E]-right, the [D] song went on for-[E]-ever
And he was [Em] up all night
[Em7] Really quite paradise
And he sang [A] all [E] night long [D] [E]

[A] [E] [A] [E] [A*]","A, B, C#7, D, E, Em, Em7, F#m",
Star ,David Bowie,3,Ziggy Stardust,16,https://moselele.co.uk/individual_songs/Ziggy/star.pdf,"Intro: [C]     [G] X4

[C] Tony went to fight in Bel-[G]-fast
[C] Rudi stayed at home to starve [G] [F#m]
[Em] I could make it all [D] worthwhile as a [C] rock & roll [G*] star

[C] Bevan tried to change the [G] nation
[C] Sonny wants to turn the world [G] well he can tell you that [F#m] he
[Em] tried. I could make a [D] transformation as a [C] rock & roll [G*] star

[D] So --- [Em7] inviting (la la la la)
[F] so---- [G] enticing to play [F#m] the [Em] part
I could play the wild [D] mutation as a [C] rock & roll [G*] star

[C]      [G] [Bb] Get it all yeah! [F]
[C]      [G] [Bb] Oh [F] yeah

[Em] I could do with the [C] money (you know that I could)
I'm [Em] so wiped out with things as they are [C] (you know that I would)
I'd [Em] send my photograph to my hon-[D]-ey (little baby)
and [Bb*] I'd come on like a [F*] regular super [G*] star

[C] [G] [C] [G] [F#m]
[Em] I could make a [D] transformation as a [C] rock & roll [G*] star

[D] So --- [Em7] inviting
[F] so---- [G] enticing to play [F#m] the [Em] part
I could play the wild [D] mutation as a [C] rock & roll [G] star

[C]       [G] [Bb] Get it all yeah! [F]
[C]       [G] [Bb] [F]

[Em] I could do with the [C] money (you know that I could)
I'm [Em] so wiped out with things as they are [C] (you know that I would)
I'd [Em] send my photograph to my hon-[D]-ey (little baby)
and [Bb*] I'd come on like a [F*] regular super [G*] star

(slow)
[G]
[Em] I could fall asleep [D] at night as a [C] rock & roll [G] star
[Em] I could fall in love [D] all right as a [C] rock & roll [G] star

[C] oooh, Rock n roll [Bb] star
[Ab] oooh, rock n roll [G] star
Bum bum bum Just watch me...bum bum

_____

strum pattern for  “Get it all, yeah!”
[C] du du du du [G] d  [Bb] du du du du [F] d","Ab, Bb, C, D, Em, Em7, F, F#m, G",
Hang on to Yourself ,David Bowie,3,Ziggy Stardust,18,https://moselele.co.uk/individual_songs/Ziggy/Hang_on_to_yourself.pdf,"INTRO: [D] [C] [G]       [D] [C] [G]

Well she's a [F#m] tongue twisting storm, she will [A] come to the show tonight
[B] Praying to the light machine [F#m] [A] [B]
She wants my [F#m] honey not my money, she's a [A] funky-thigh collector
[B] Laying on electric dreams [F#m] [A] [B]

Well come [C] on, come [D] on, we've [C] really got a good thing [D] going
Well come [C] on, well come [D] on, if you [C] think we're gonna make it
You [A] better hang on to yourself[D] [C] [G] [D] [C] [G]

We can't [F#m] dance, we don't talk much, we [A] just ball and play
But then [B] we move like tigers on Vaseline [F#m] [A] [B]
Well the [F#m] bitter comes out better on a [A] stolen guitar
You're the [B] blessed, we're The Spiders From Mars [F#m] [A] [B]

Well come [C] on, come [D] on, we've [C] really got a good thing [D] going
Well come [C] on, well come [D] on, if you [C] think we're gonna make it
You [A] better hang on to yourself[D] [C] [G] [D] [C] [G]

SOLO: [A]   [D]   [A]   [D] Lay it on..

come [C] on, come [D] on, we've [C] really got a good thing [D] going
Well come [C] on, well come [D] on, if you [C] think we're gonna make it
You [A] better hang on to yourself[D] [C] [G] [D] [C] [G]

come [C] on, come [D] on, we've [C] really got a good thing [D] going
Well come [C] on, well come [D] on, if you [C] think we're gonna make it
You [A] better hang on to yourself[D] [C] [G] [D] [C] [G]

SOLO: [A]   [D]   [A]   [D]
to fade

(over the top on G string)
On A string -2-4-5-9-7---9-7-5-4-2-

(This is the only song that is ever allowed to speed up.)","A, B, C, D, F#m, G",
Ziggy Stardust ,David Bowie,3,Ziggy Stardust,20,https://moselele.co.uk/individual_songs/Ziggy/Ziggy_stardust.pdf,"Ooooooooh
Yeah

[G] Ziggy played guitar, [Bm7] jamming good with Weird and [C] Gilly,
and the spiders from [D] Mars. He played it left [G] hand
But made it too far [Em]
Became the special [Am] man, then we were [C] Ziggy's band

[G] Ziggy really sang, screwed [Bm7] up eyes and screwed down [C] hairdo
Like some cat from Japan [D] , he could lick 'em by smiling [G]
He could leave 'em to hang [Em]
'came on so loaded [Am] man, well hung and snow [C] white tan.

[Am]So where [G] were the spiders [F], [Am]  while the fly [G] tried to break our balls [F]
[Am] With just the [G] beer light to guide us,[F]
[D] So we bitched about his fans and should we crush [Em] his sweet hands?

[G] Ziggy played for time, [Bm7] jiving us that we were [C] voodoo
The kid was just crass, [D] he was the nazz [G]
With God given ass [Em]
He took it all too [Am] far but boy could he play [C]  guitar

[Am] Making love [G] with his ego [F] [Am] Ziggy sucked [G] up into his mind [F]
[Am] Like a leper [G]messiah [F]
[D] When the kids had killed the man I had to [Em] break up the band.

[C]Ziggy playyyyed guitaarrrrrr [G]","Am, Bm7, C, D, Em, F, G",
Suffragette City ,David Bowie,3,Ziggy Stardust,22,https://moselele.co.uk/individual_songs/Ziggy/Suffragette_city.pdf,".......................guitaarrrrrr [G]

[G][A]       [A]

[A] Hey Man           [F] Leave me a-lone you [G] know
[A] Hey Man Oh Henry [F] Get off the [G] phone I gotta
[A] Hey Man, I gotta [B] straighten my face
This [D] mellow thighed chick just put my [F] Spine out of [G] place

[A] Hey Man, my [F] school days [G] insane
[A] Hey Man, my [F]  works down the [G] drain
[A] Hey Man, Well She's a [B] total blam blam,
She [D] said she had to squeeze it [F] but she [G] And then she

Oh don't [A] lean on me man cos you [D] can't afford the ticket
[F] I'm back on [C] Suffragette [G] City
Well don't [A] lean on me man cos you [D] ain't got time to check it
[F] You know my [C] Suffragette [G] City
Its outta [A] sight she's all right [A]

[A] Hey Man ah Henry, [F] don't be un-[G]-kind, go away
[A] Hey Man ah I can't [F] take you this [G] time, no way
[A] Hey Man, say droogie [B] don't crash here.
There’s [D] only room for one [F] and here she [G]comes here she come

Oh don't [A] lean on me man cos you [D] can't afford the ticket
[F] I'm back on [C] Suffragette [G] City
Well don't [A] lean on me man cos you [D] ain't got time to check it
[F] You know my [C] Suffragette [G] City
Its outta [A] sight she's all right [A]

[A]      [F] [G] Ow!
[A] hit me [F] [G]
[A]    [B]    [D]      [F] [G]

Oh don't [A] lean on me man cos you [D] can't afford the ticket
[F] I'm back on [C] Suffragette [G] City
Well don't [A] lean on me man cos you [D] ain't got time to check it
[F] You know my [C] Suffragette [G] City
don't [A] lean on me man cos you [D] can't afford the ticket
[F] I'm back on [C] Suffragette [G] City
Well don't [A] lean on me man cos you [D] ain't got time to check it
[F] You know my [C] Suffragette [G] City
Is outta [A] sight she's all right [A]

[A]           [F] [G] a Suffragette City, [A]            [F] [G] a Suffragette City,
[A]           [F]I’m back [G] on Suffragette City, [A]         [F] I’m back [G] on Suffragette City,
[A]           [F] [G] a Suffragette City, [A]            [F] [G] a Suffragette City,
[A]           [F] [G] a Suffragette City, [A]            [F] [G] Suffragette,
[E]                                                        [A*]

Aaaaah!!, Wham Bam, Thank you Ma'am!

[A]           [F] [G] a Suffragette City, [A]            [F] [G] a Suffragette City,
[A]           [F] [G] a Suffragette City, [A]            [F] [G] a Suffragette City,
[A]           [F] [G] a Suffragette City, [A]            [F] [G] a Suffragette City,
[A]           [F] [G] a Suffragette City, [A]            [F] [G] a Suffragette,
[E]                                                         [A*] Suffragette!","A, B, C, D, E, F, G",
